date,-9,-7,-5,-3,-1,1,3,5,7,9,11
8/6/09,4500,83449.67,262200,530200.37,154499.96,0,0,0,0,0,0
8/7/09,9549.53,79250.14,260050,529550.37,160449.96,0,0,0,0,0,0
8/8/09,4000,84899.67,260200,526250.37,167499.96,0,0,0,0,0,0
8/9/09,5050,85099.67,259850,523200.37,174699.96,0,0,0,0,0,0
8/10/09,3750,86349.67,257550,520600.37,183399.96,0,0,0,0,0,0
8/11/09,3500,86399.67,254750,521200.37,189299.96,0,0,0,0,0,0
8/12/09,3150,86349.67,252748.99,519901.34,196150,0,0,0,0,0,0
8/13/09,4250,86249.67,248998.99,521201.34,201850,0,0,0,0,0,0
8/14/09,3150,88499.67,244148.99,522201.34,207700,0,0,0,0,0,0
8/15/09,1300,88399.67,241698.99,521551.34,214050,0,0,0,0,0,0
8/16/09,950,87599.67,237648.99,521151.34,220600,0,0,0,0,0,0
8/17/09,850,88349.67,232098.99,519701.34,227800,0,0,0,0,0,0
8/18/09,500,86049.67,231148.99,518301.34,233300,0,0,0,0,0,0
8/19/09,900,77299.53,234899.13,518101.34,239000,0,0,0,0,0,0
8/20/09,1100,74249.53,234949.13,515401.34,245600,0,0,0,0,0,0
8/21/09,700,72349.53,235049.13,512551.34,251350,0,0,0,0,0,0
8/22/09,350,69549.53,236999.13,508651.34,256800,0,0,0,0,0,0
8/23/09,750,66449.53,235699.13,507401.34,262800,0,0,0,0,0,0
8/24/09,750,65799.53,231849.13,507751.34,267700,0,0,0,0,0,0
8/25/09,2500,65899.53,226499.13,508601.34,272850,0,0,0,0,0,0
8/26/09,4699.53,62650,224199.13,509351.34,277850,0,0,0,0,0,0
8/27/09,1450,65699.53,221199.13,508851.34,283000,0,0,0,0,0,0
8/28/09,3750,66299.53,213999.13,509701.34,290200,0,0,0,0,0,0
8/29/09,3900,69449.53,209549.13,509551.34,295400,0,0,0,0,0,0
8/30/09,4850,72649.53,205749.13,509301.34,300150,0,0,0,0,0,0
8/31/09,4600,76249.53,203449.12,507601.35,305100,0,0,0,0,0,0
9/1/09,3900,80099.53,198649.12,508051.35,310200,0,0,0,0,0,0
9/2/09,3300,83649.53,195449.12,505701.02,316100.33,0,0,0,0,0,0
9/3/09,3750,82449.53,195949.12,503651.02,321450.33,0,0,0,0,0,0
9/4/09,3200,82199.53,198449.12,500151.02,326450.33,0,0,0,0,0,0
9/5/09,3800,81349.53,201099.12,496751.02,331250.33,0,0,0,0,0,0
9/6/09,3400,76199.53,209249.12,491101.02,337700.33,0,0,0,0,0,0
9/7/09,4550,75199.53,208899.12,490401.02,342500.33,0,0,0,0,0,0
9/8/09,3450,75149.53,209199.12,489801.02,347400.33,0,0,0,0,0,0
9/9/09,2700,75199.53,208699.12,488351.02,352750.33,0,0,0,0,0,0
9/10/09,3350,74399.53,208049.12,486951.02,358300.33,0,0,0,0,0,0
9/11/09,3350,74649.53,207049.12,484901.02,364450.33,0,0,0,0,0,0
9/12/09,3450,74099.53,207199.12,483201.02,369900.33,0,0,0,0,0,0
9/13/09,3750,74449.53,206899.12,480651.02,375850.33,0,0,0,0,0,0
9/14/09,3700,76899.53,204249.12,476401.02,384050.33,0,0,0,0,0,0
9/15/09,2200,79649.53,201649.12,474651.02,389350.33,0,0,0,0,0,0
9/16/09,3601,80998.53,198549.12,472501.02,395450.33,0,0,0,0,0,0
9/17/09,9250,79049.53,195099.12,470751.02,401150.33,0,0,0,0,0,0
9/18/09,3900,87399.53,191899.12,468751.02,407250.33,0,0,0,0,0,0
9/19/09,3700,90199.53,189299.12,470501.02,409200.33,0,0,0,0,0,0
9/20/09,3900,93199.53,185949.12,468651.02,415100.33,0,0,0,0,0,0
9/21/09,3850,96349.53,179599.12,469101.02,421350.33,0,0,0,0,0,0
9/22/09,3250,97449.53,176849.12,467651.02,426300.33,0,0,0,0,0,0
9/23/09,1800,99949.53,172950.14,466950,431650.33,0,0,0,0,0,0
9/24/09,4850,99249.53,171300.14,464150,438600.33,0,0,0,0,0,0
9/25/09,5850,98101,171748.67,463650,443350.33,0,0,0,0,0,0
9/26/09,5000,102701,169248.67,460950,449800.33,0,0,0,0,0,0
9/27/09,5150,103651,170373.67,457625,455250.33,0,0,0,0,0,0
9/28/09,4250,105251,170293.67,456005,460500.33,0,0,0,0,0,0
9/29/09,6550,103651,170248.67,453000,467250.33,0,0,0,0,0,0
9/30/09,4250,106201,170598.67,451300,472600.33,0,0,0,0,0,0
10/1/09,4100,106901,170198.67,449900,477950.33,0,0,0,0,0,0
10/2/09,4100,107501,169548.67,448250,483250.33,0,0,0,0,0,0
10/3/09,2900,108051,169048.67,447100,488450.33,0,0,0,0,0,0
10/4/09,2650,108301,168048.67,444000,495200.33,0,0,0,0,0,0
10/5/09,2750,107751,167198.67,442950,500300.33,0,0,0,0,0,0
10/6/09,2850,106501,167148.67,441550,505050.33,0,0,0,0,0,0
10/7/09,3000,105251,167798.67,440050,510000.33,0,0,0,0,0,0
10/8/09,3500,105251,166898.67,439400,514550.33,0,0,0,0,0,0
10/9/09,3950,106051,165798.67,438100,519650.33,0,0,0,0,0,0
10/10/09,3850,106951,165048.67,436300,525250.33,0,0,0,0,0,0
10/11/09,3700,107801,164348.67,433750,531500.33,0,0,0,0,0,0
10/12/09,7950,106401,162298.67,430350,537000.33,0,0,0,0,0,0
