,BlkCnt,IssTotNtv,SplyCur,TxTfrValAdjUSD,CapMrktCurUSD,NVTAdj90,PriceUSD,FeeTotUSD,IssTotUSD,AdrActCnt
2012-02-05,142.0,7100.0,8276990.75849937,796843.2710814971,46997711.31632944,41.24359927942909,5.6781157171244905,24.03089998829916,40314.621591583884,14720.0
2012-02-06,146.0,7300.0,8284290.75849937,899687.7422450834,45419983.19133545,39.84139712204785,5.48266405844535,24.422649476233243,40023.447626651054,14174.0
2012-02-07,137.0,6850.0,8291140.75599937,838288.7143446188,46944668.62652114,41.349028674110286,5.66202770017534,36.22934560384594,38784.88974620108,14474.0
2012-02-08,145.0,7250.0,8298390.75599937,821279.9417558524,46624742.39378137,40.89350879571649,5.6185281899474,28.846543995723955,40734.32937711865,14819.0
2012-02-09,145.0,7250.0,8305640.75599937,662804.5835784213,48469226.54864737,42.412879655576646,5.83569985417884,42.95847027380936,42308.82394279659,14871.0
2012-02-10,138.0,6900.0,8312540.72339413,854274.7964603251,49358488.226060405,42.97397477078935,5.93783415546464,25.278277038919942,40971.05567270602,16819.0
2012-02-11,150.0,7500.0,8320040.61839413,960127.483756306,46693173.295298114,40.40174624720649,5.61213285330216,22.25260770232156,42090.9963997662,14944.0
2012-02-12,158.0,7900.0,8327940.58989413,641514.0843324531,45962713.33737825,39.663345553176654,5.51909716949152,20.950940178215397,43600.86763898301,14056.0
2012-02-13,137.0,6850.0,8334790.57589413,1661964.754305456,44577415.17757766,37.98912002203212,5.348354559322031,29.394527456017983,36636.22873135591,16556.0
2012-02-14,138.0,6900.0,8341690.57589413,2167671.045096885,37401255.08279696,31.894041741831455,4.4836540917592105,70.68197223530369,30937.21323313855,18756.0
2012-02-15,134.0,6700.0,8348390.56808977,3864808.841106554,36111133.058548436,29.855226406911672,4.3255203220339,29.1184140372418,28980.98615762713,18243.0
2012-02-16,138.0,6900.0,8355290.43575376,1823024.8719906835,35553758.094558865,29.014578975446877,4.25523904500292,37.674286364365365,29361.149410520145,17722.0
2012-02-17,152.0,7600.0,8362890.41725376,1081812.7951862267,36725954.1755717,29.7759264320768,4.39153837288136,16.266220936822545,33375.691633898336,14218.0
2012-02-18,171.0,8550.0,8371440.41725376,1118304.0221855775,35746730.99238838,28.80852788491233,4.27008127761543,13.733513376750876,36509.194923611925,14337.0
2012-02-19,158.0,7900.0,8379340.41725376,534442.6174254384,36781545.94740737,29.618834752368752,4.38955145821157,11.609445181118001,34677.456519871404,13197.0
2012-02-20,140.0,7000.0,8386340.41725376,666330.3397022617,36607515.95141039,29.75705255060516,4.36513593892461,19.000704403282352,30555.95157247227,14828.0
2012-02-21,129.0,6450.0,8392790.41725376,769452.5569254225,36215860.873699844,29.975257905150126,4.315115601987141,13.801968797572545,27832.495632817052,14362.0
2012-02-22,159.0,7950.0,8400740.41725376,857818.8234466548,37125478.54901621,30.61595652275111,4.41931028755114,15.173830032305174,35133.51678603156,16120.0
2012-02-23,166.0,8300.0,8409040.41725376,1014957.566055102,42377486.31112461,34.75141308288381,5.03951511805961,26.24100422217836,41827.97547989476,18129.0
2012-02-24,149.0,7450.0,8416490.41725376,1079904.6290067488,42297987.96025716,34.516639285057416,5.02560875891292,21.63902481413856,37440.78525390125,16256.0
2012-02-25,165.0,8250.0,8424740.41725376,878313.4094555083,40207641.30931437,32.62980882381249,4.77256738106371,14.550166168763583,39373.68089377561,14844.0
2012-02-26,150.0,7500.0,8432240.41075376,570182.331673138,41540764.98480975,34.63651161342999,4.9264208515488,16.672397461585486,36948.156386616,13193.0
2012-02-27,154.0,7700.0,8439940.41075376,783731.1388103425,41798937.866346516,34.82048828591473,4.95251575628287,29.94967302180176,38134.371323378095,15336.0
2012-02-28,160.0,8000.0,8447940.41075376,725261.6266608428,41033824.24768436,36.00838668931513,4.85725777556984,16.997899318135268,38858.06220455872,16054.0
2012-02-29,179.0,8950.0,8456890.41075376,801071.4000041663,41208302.226078294,36.18727397267983,4.87274875569842,17.79120985678208,43611.10136350086,15562.0
2012-03-01,151.0,7550.0,8464440.41075376,1259966.845146957,41662586.18774532,36.84715373936915,4.92207212361192,31.773839152862386,37161.64453327,16097.0
2012-03-02,134.0,6700.0,8471140.41075376,1413916.9913411837,39939932.618118726,35.40226563024199,4.71482358708358,22.02238745497828,31589.318033459986,17925.0
2012-03-03,113.0,5650.0,8476790.38925376,772054.6171274398,39232224.08226489,35.504430146368385,4.628193252483929,15.471175499656788,26149.291876534204,12413.0
2012-03-04,137.0,6850.0,8483640.38015376,658066.8296090872,41011143.32751192,37.50196747128904,4.8341444815897106,18.28596102744796,33113.889698889514,14600.0
2012-03-05,145.0,7250.0,8490890.38015376,690435.1906020811,42304951.97750906,39.67957702939994,4.98239290385739,27.0459292792327,36122.348552966076,16264.0
2012-03-06,137.0,6850.0,8497740.32815376,791828.5311224386,42385380.61093899,41.32461399510267,4.98784135242548,23.212203504119255,34166.713264114536,15360.0
2012-03-07,154.0,7700.0,8505440.32815376,740977.5769706608,42094384.31701072,43.52120972432501,4.94911288457043,19.90104757471809,38108.16921119231,15193.0
2012-03-08,156.0,7800.0,8513240.32815376,751934.5264762829,42012666.455719486,44.656143422475594,4.934979495032139,20.141981764593105,38492.84006125069,15555.0
2012-03-09,168.0,8400.0,8521640.32815376,751107.1180942253,41519969.82767169,44.568903200810524,4.87229784745763,20.375516450789167,40927.30191864409,15970.0
2012-03-10,165.0,8250.0,8529890.32815376,573714.4963159017,41296814.086993076,44.76289137853088,4.8414238047925195,21.25512713808225,39941.74638953828,13042.0
2012-03-11,134.0,6700.0,8536590.32815376,510215.6500983967,41761245.32602048,45.7899191558289,4.89202875160724,13.542796477130295,32776.59263576851,12053.0
2012-03-12,166.0,8300.0,8544890.32815376,755032.425516909,41962583.91538561,45.90231602862072,4.9108393793103495,19.29834158580857,40759.966848275915,15290.0
2012-03-13,160.0,8000.0,8552890.32815376,1030406.4198926244,45252318.76383404,49.15351049185911,5.29088027878434,60.64685487480484,42327.04223027472,16216.0
2012-03-14,137.0,6850.0,8559740.32815376,1197603.472962003,46141650.80913223,49.771234975248525,5.39054329222677,27.68989374041037,36925.22155175338,16391.0
2012-03-15,121.0,6050.0,8565790.32815376,933682.7736554374,45748352.000109494,49.18978025779264,5.34082089888954,18.59249652975085,32311.966438281717,14920.0
2012-03-16,153.0,7650.0,8573440.32815376,965072.4614800302,45778525.85135407,48.89944995962514,5.33957479135009,46.61860586196113,40847.74715382818,16092.0
2012-03-17,170.0,8500.0,8581940.32815376,689414.4683930419,44935070.05896065,47.786037952472284,5.23600355406195,19.099052548176182,44506.03020952657,16492.0
2012-03-18,160.0,8000.0,8589940.32815376,639072.2684723409,45270265.30496867,48.20248724198277,5.27014898538866,17.219015064325845,42161.191883109284,13966.0
2012-03-19,143.0,7150.0,8597090.32815376,949268.3346058056,40222970.5530753,42.912458167214815,4.678672552893049,19.961905850184447,33452.508753185306,15579.0
2012-03-20,160.0,8000.0,8605090.32815376,884375.8521425409,41569730.370786965,44.24257410884408,4.83083021624781,22.566102940749595,38646.64172998248,15537.0
2012-03-21,158.0,7900.0,8612990.32815376,950883.4259961573,41490751.30593745,43.97146309857035,4.817229524839281,16.157966976384163,38056.113246230314,16079.0
2012-03-22,158.0,7900.0,8620890.32815376,970647.3569979386,40773436.21643109,42.9324635571022,4.72960850496785,15.97863858608774,37363.90718924601,15782.0
2012-03-23,126.0,6300.0,8627190.32815376,755501.5306594307,40475698.63549226,42.45060905775243,4.69164317650497,20.088416569383348,29557.352011981315,14184.0
2012-03-24,184.0,9200.0,8636390.32815376,536200.6722484062,40176369.19375053,42.08985576285322,4.651986265926361,69.26046987425761,42798.27364652251,13792.0
2012-03-25,157.0,7850.0,8644240.32815376,718497.9483246612,39350918.18706296,41.169760141908775,4.55227026241964,31.774858039978252,35735.32155999417,14501.0
2012-03-26,151.0,7550.0,8651790.32815376,766736.6838322228,40081342.504943624,41.83730019318283,4.63272235973115,16.340772722995112,34977.05381597018,16361.0
2012-03-27,156.0,7800.0,8659590.32815376,895904.4525908233,41664239.69635859,43.31020444148283,4.81134073524255,20.660330474591525,37528.45773489189,15179.0
2012-03-28,150.0,7500.0,8667090.32815376,910344.7093345548,41520470.98195257,43.05860232781336,4.79058939158387,22.539737363358487,35929.42043687902,15846.0
2012-03-29,141.0,7050.0,8674140.32815376,1064930.9235708446,41584406.18960048,42.8762504041486,4.794066572180009,22.410928474434485,33798.16933386907,17441.0
2012-03-30,154.0,7700.0,8681840.32815376,914866.5853893528,42205979.803070374,43.36148120565131,4.861409356516661,20.673866180158406,37432.85204517828,15053.0
2012-03-31,170.0,8500.0,8690340.32815376,718056.6326030194,42493825.15661395,43.751929459219205,4.88977687317358,22.837449644612942,41563.10342197543,14120.0
