"<1d, x; 1d-1w, x; 1w-1m, x; 1-3m, x; 3-6m, x; 6-12m, x; 12-18m, x; 18-24m, x; 2-3y, x; 3-5y, x; >5y, x; BTC/USD, x","<1d, y","<1d, text","1d-1w, y","1d-1w, text","1w-1m, y","1w-1m, text","1-3m, y","1-3m, text","3-6m, y","3-6m, text","6-12m, y","6-12m, text","12-18m, y","12-18m, text","18-24m, y","18-24m, text","2-3y, y","2-3y, text","3-5y, y","3-5y, text",">5y, y",">5y, text","BTC/USD, y"
"2009-02-22","0.02276673741076596","2.28%","0.1701717152228439","14.74%","0.7397260273972602","56.96%","1.0","26.03%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-23","0.02215130467430073","2.22%","0.1623803266378825","14.02%","0.7163506664163695","55.40%","1.0","28.36%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-24","0.020106013525863643","2.01%","0.15262292085541948","13.25%","0.6773898738804607","52.48%","1.0","32.26%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-25","0.01931391504432096","1.93%","0.14915206594863584","12.98%","0.6665667089794112","51.74%","1.0","33.34%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-26","0.018521816562778272","1.85%","0.14568121104185214","12.72%","0.6557435440783616","51.01%","1.0","34.43%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-27","0.01944782080222261","1.94%","0.13665566938704635","11.72%","0.6424726515019968","50.58%","1.0","35.75%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-28","0.022869727257326784","2.29%","0.13298322886667796","11.01%","0.6247670675927495","49.18%","1.0","37.52%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-01","0.020447597215565987","2.04%","0.13024223457555828","10.98%","0.615839793098508","48.56%","1.0","38.42%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-02","0.018025467173805192","1.80%","0.12750124028443854","10.95%","0.6069125186042665","47.94%","1.0","39.31%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-03","0.01809077693425941","1.81%","0.12582781456953646","10.77%","0.5903731222742691","46.45%","1.0","40.96%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-04","0.020363062352012632","2.04%","0.1234411996842936","10.31%","0.5737963693764798","45.04%","1.0","42.62%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-05","0.019673736763288305","1.97%","0.1229183155390136","10.32%","0.5648732425675422","44.20%","1.0","43.51%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-06","0.018984411174563974","1.90%","0.1223954313937336","10.34%","0.5559501157586048","43.36%","1.0","44.40%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-07","0.01796768835874981","1.80%","0.11671447984297145","9.87%","0.5443153857768384","42.76%","1.0","45.57%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-08","0.02024530811290084","2.02%","0.11600413772720555","9.58%","0.5302203044185015","41.42%","1.0","46.98%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-09","0.01793628450066978","1.79%","0.11624255504505265","9.83%","0.5225259241669993","40.63%","1.0","47.75%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-10","0.015627260888438722","1.56%","0.11648097236289973","10.09%","0.5148315439154971","39.84%","1.0","48.52%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-11","0.015733522324592488","1.57%","0.11552090715804395","9.98%","0.4989370375620128","38.34%","1.0","50.11%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-12","0.016391165439644396","1.64%","0.11251562717044034","9.61%","0.4802056952354494","36.77%","1.0","51.98%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-13","0.01743156747923192","1.74%","0.109355849107994","9.19%","0.4683371918834264","35.90%","1.0","53.17%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-14","0.01632897994637434","1.63%","0.1092391640357654","9.29%","0.4634326536417265","35.42%","1.0","53.66%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-15","0.015226392413516763","1.52%","0.1091224789635368","9.39%","0.4585281154000267","34.94%","1.0","54.15%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-16","0.015856375311230506","1.59%","0.10470449482374523","8.88%","0.4498755077971433","34.52%","1.0","55.01%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-17","0.02122186495176849","2.12%","0.11061093247588424","8.94%","0.4411575562700965","33.05%","1.0","55.88%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-18","0.0137643641873974","1.38%","0.10973607778759943","9.60%","0.426821568379846","31.71%","1.0","57.32%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-19","0.014447604393090988","1.44%","0.1095003097607227","9.51%","0.4240643870672639","31.46%","1.0","57.59%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-20","0.015130844598784571","1.51%","0.10926454173384596","9.41%","0.4213072057546819","31.20%","1.0","57.87%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-21","0.01584013646886804","1.58%","0.10759108078469598","9.18%","0.4146460338735226","30.71%","1.0","58.54%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-22","0.015763440285685368","1.58%","0.1028315839799423","8.71%","0.40622135246544055","30.34%","1.0","59.38%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-23","0.01568674410250269","1.57%","0.0980720871751886","8.24%","0.3977966710573584","29.97%","1.0","60.22%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-24","0.01424367274867569","1.42%","0.09181871689228957","7.76%","0.3929370217775162","30.11%","1.0","60.71%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-25","0.01365898830883204","1.37%","0.09156152332445884","7.79%","0.3870818381757147","29.55%","1.0","61.29%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-26","0.015826027553227828","1.58%","0.0885802117727428","7.28%","0.3819879312307868","29.34%","1.0","61.80%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-27","0.013794048838784856","1.38%","0.08680158790720707","7.30%","0.37957915660900826","29.28%","1.0","62.04%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
