,Volume,Type
2015-01-04,55629100,BTC
2015-01-05,43962800,BTC
2015-01-06,23245700,BTC
2015-01-07,24866800,BTC
2015-01-08,19982500,BTC
2015-01-09,18718600,BTC
2015-01-10,15264300,BTC
2015-01-11,18200800,BTC
2015-01-12,18880300,BTC
2015-01-13,72843904,BTC
2015-01-14,97638704,BTC
2015-01-15,81773504,BTC
2015-01-16,38421000,BTC
2015-01-17,23469700,BTC
2015-01-18,30085100,BTC
2015-01-19,18658300,BTC
2015-01-20,24051100,BTC
2015-01-21,29924600,BTC
2015-01-22,33544600,BTC
2015-01-23,24621700,BTC
2015-01-24,24782500,BTC
2015-01-25,33582700,BTC
2015-01-26,106794000,BTC
2015-01-27,44399000,BTC
2015-01-28,44352200,BTC
2015-01-29,32213400,BTC
2015-01-30,26605200,BTC
2015-01-31,23348200,BTC
2015-02-01,29128500,BTC
2015-02-02,30612100,BTC
2015-02-03,40783700,BTC
2015-02-04,26594300,BTC
2015-02-05,22516400,BTC
2015-02-06,24435300,BTC
2015-02-07,21604200,BTC
2015-02-08,17145200,BTC
2015-02-09,27791300,BTC
2015-02-10,21115100,BTC
2015-02-11,17201900,BTC
2015-02-12,15206200,BTC
2015-02-13,42744400,BTC
2015-02-14,49732500,BTC
2015-02-15,56552400,BTC
2015-02-16,28153700,BTC
2015-02-17,27363100,BTC
2015-02-18,25200800,BTC
2015-02-19,18270500,BTC
2015-02-20,23876700,BTC
2015-02-21,12284200,BTC
2015-02-22,19527000,BTC
2015-02-23,16400000,BTC
2015-02-24,14200400,BTC
2015-02-25,11496200,BTC
2015-02-26,13619400,BTC
2015-02-27,44013900,BTC
2015-02-28,13949300,BTC
2015-03-01,25213700,BTC
2015-03-02,40465700,BTC
2015-03-03,50461300,BTC
2015-03-04,41383000,BTC
2015-03-05,41302400,BTC
2015-03-06,28918900,BTC
2015-03-07,17825900,BTC
2015-03-08,22067900,BTC
2015-03-09,59178200,BTC
2015-03-10,67770800,BTC
2015-03-11,33963900,BTC
2015-03-12,32585200,BTC
2015-03-13,31421500,BTC
2015-03-14,22612300,BTC
2015-03-15,11970100,BTC
2015-03-16,21516100,BTC
2015-03-17,21497200,BTC
2015-03-18,57008000,BTC
2015-03-19,52732000,BTC
2015-03-20,18456700,BTC
2015-03-21,17130100,BTC
2015-03-22,18438100,BTC
2015-03-23,22811900,BTC
2015-03-24,40073700,BTC
2015-03-25,35866900,BTC
2015-03-26,25730000,BTC
2015-03-27,17274900,BTC
2015-03-28,16040900,BTC
2015-03-29,21699400,BTC
2015-03-30,23009600,BTC
2015-03-31,22672000,BTC
2015-04-01,22877200,BTC
2015-04-02,26272600,BTC
2015-04-03,23146600,BTC
2015-04-04,12493500,BTC
2015-04-05,19649200,BTC
2015-04-06,20034200,BTC
2015-04-07,18467400,BTC
2015-04-08,30086400,BTC
2015-04-09,21643500,BTC
2015-04-10,28882000,BTC
2015-04-11,16365200,BTC
2015-04-12,12387900,BTC
2015-04-13,31181800,BTC
2015-04-14,31719000,BTC
2015-04-15,22562000,BTC
2015-04-16,24805400,BTC
2015-04-17,20429800,BTC
2015-04-18,12939000,BTC
2015-04-19,15021500,BTC
2015-04-20,18364700,BTC
2015-04-21,24978000,BTC
2015-04-22,23847900,BTC
2015-04-23,17036000,BTC
2015-04-24,21448700,BTC
2015-04-25,13957200,BTC
2015-04-26,28943700,BTC
2015-04-27,38574000,BTC
2015-04-28,21469200,BTC
2015-04-29,18936500,BTC
2015-04-30,33818600,BTC
2015-05-01,18815300,BTC
2015-05-02,12535500,BTC
2015-05-03,18494100,BTC
2015-05-04,21223400,BTC
2015-05-05,23929100,BTC
2015-05-06,29587200,BTC
2015-05-07,29064400,BTC
2015-05-08,27445500,BTC
2015-05-09,19790500,BTC
2015-05-10,15019100,BTC
2015-05-11,20892300,BTC
2015-05-12,19282600,BTC
2015-05-13,27180100,BTC
2015-05-14,24413700,BTC
2015-05-15,16329400,BTC
2015-05-16,11089700,BTC
2015-05-17,11134300,BTC
2015-05-18,16780300,BTC
2015-05-19,14241900,BTC
2015-05-20,15499400,BTC
2015-05-21,15108900,BTC
2015-05-22,27003000,BTC
2015-05-23,14605000,BTC
2015-05-24,11508000,BTC
2015-05-25,14423900,BTC
2015-05-26,16425000,BTC
2015-05-27,18837000,BTC
2015-05-28,13829600,BTC
2015-05-29,14805000,BTC
2015-05-30,14098600,BTC
2015-05-31,14730800,BTC
2015-06-01,26090500,BTC
2015-06-02,20459000,BTC
2015-06-03,17752400,BTC
2015-06-04,14728100,BTC
2015-06-05,18056500,BTC
2015-06-06,11131500,BTC
2015-06-07,13318400,BTC
2015-06-08,23378400,BTC
2015-06-09,28353100,BTC
2015-06-10,15904800,BTC
2015-06-11,14416000,BTC
2015-06-12,14017700,BTC
2015-06-13,13305300,BTC
2015-06-14,12165900,BTC
2015-06-15,19912100,BTC
2015-06-16,41612000,BTC
2015-06-17,43858400,BTC
2015-06-18,30980200,BTC
2015-06-19,23965300,BTC
2015-06-20,20608100,BTC
2015-06-21,10600900,BTC
2015-06-22,17692500,BTC
